剧情节数,对话序号,角色,地点,对话文本,选项,表情拆分,,,first,,任务,,奖励

第二周周六下午百团大战											9月17号
15,1,社联同学	操场	欢迎新同学选择喜欢的社团加入。		15				
	2	自动触发对话	林风	操场	好多摊位，我们学校居然有这么多社团。		18				
	3	自动触发对话	(=pn)	操场		你们有什么目标吗？	0				
	4	自动触发对话	弗洛	操场	我和林风准备先去动漫社。		12				
	5	自动触发对话	纪远行	操场	我先随便逛逛，也许看到什么有趣的社团会加一下。		23				
	6	自动触发对话	(=pn)	操场		我要先去找个人。	0				
	7	自动触发对话	纪远行	操场	那我们一会见。		7				
	来到管理摊位附近										
16	1	互动触发对话	宁芷（有交流符号）	操场	学妹，等你好久啦。		9				
	2	自动触发对话	宁芷	操场	我们换个地方吧，还是说，你要再逛一逛呢？		20				
	3	自动触发对话	(=pn)	操场		再逛一逛。|我们走吧。	0		"后接17|
后接18"		
							0				
17	5	自动触发对话	宁芷	操场	好吧，记得回来哦~		9		宁芷交流符号不变		
	去南桥楼一层办公室的路上，这里学姐和主角都自动行走										
18	1	自动触发对话	宁芷	去办公室的路上	学妹有心仪的社团吗。		10				
	2	自动触发对话	宁芷	去办公室的路上	我们学校的社团活动还是很丰富的。		16				
	3	自动触发对话	(=pn)	去办公室的路上		有的有的。|暂时还没。	0				
	4	自动触发对话	宁芷	去办公室的路上	有什么问题都可以来问我哦，我还是社团联合会会长。		24				
	5	自动触发对话	(=pn)	去办公室的路上		学姐好厉害，身兼数职。	0				
	6	自动触发对话	宁芷	去办公室的路上	我们到了，来这里吧。		10				
进入办公室											
19	1	区域触发对话	宁芷	办公室	你那天应该有偷听到个大概吧？		14				
	2	自动触发对话	宁芷	办公室	关于失序化事件。		8				
	3	自动触发对话	(=pn)	办公室		……|我什么都不知道。|嗯。	0	"选择后，根据选项
PC5|PC2|PC5"			
	4	自动触发对话	宁芷	办公室	那你也知道，使用指令是要付出一定代价的吧？		21				
	5	自动触发对话	宁芷	办公室	失序。		3				
	6	自动触发对话	宁芷	办公室	失序的物体变得难以理解，失序的生命化作行尸走肉。		24				
	7	自动触发对话	宁芷	办公室	而最近一周，出现了多个学生失序化的事件。		20				
	8	自动触发对话	(=pn)	办公室		……	0				
	9	自动触发对话	宁芷	办公室	还记得入学通知书上负责指令登记的指令协会吗。		22				
	10	自动触发对话	宁芷	办公室	他们表面上是负责指令登记管理及监督使用的学生组织。		25				
	11	自动触发对话	宁芷	办公室	实际上还负责校内一切失序相关事务。		17				
	12	自动触发对话	宁芷	办公室	他们由校内大部分教职工及小部分指令能力特殊的学生组成。		27				
	13	自动触发对话	宁芷	办公室	学妹你还有什么想问的吗？		12				
20	1	自动触发对话	(=pn)	办公室		"关于失序。|关于指令协会。|
你为什么要告诉我这些？|暂时没有了。"	0	PC5	"后接21_1|21_2|
21_3|21_4"		
21_1	1	交互触发对话	宁芷	办公室	失序因指令而起。		8				
	2	自动触发对话	宁芷	办公室	经研究，目前南桥大学已经实现了将失序量化，即失序值。		26		回到20		
	3	自动触发对话	宁芷	办公室	一个数值，背后却是不同程度的疯狂。		17	宁芷1			
	4	自动触发对话	宁芷	办公室	所以最好不要超负荷或短时间内多次使用指令哦。		22				
21_2	1	交互触发对话	宁芷	办公室	指令协会是南桥大学官方组织，负责校内失序相关的绝大多数研究和事件处理。		35				
	2	自动触发对话	宁芷	办公室	当然，因为是官方组织，所以会给成员结算G3学分哦。		25		回到20		
21_3	1	交互触发对话	宁芷	办公室	我认为你会成为那个能够改变现状的人。		18		回到20		
21_4	1	交互触发对话	宁芷	办公室	那么，我现在以指令协会会长的身份，诚挚邀请你，加入指令协会。		30		接受任务		
	2	自动触发对话	宁芷	办公室	不必现在回复我，我希望你能认真考虑过后再做出答复。		25				
	3	自动触发对话	宁芷	办公室	你是一名成年人，对抗失序也绝非儿戏。		18				
	4	自动触发对话	宁芷	办公室	选择加入就代表着你将肩负一个绝对不算小的责任。						
	5	自动触发对话	宁芷	办公室	你可以在下周五前给我答复。		13				
22	1	自动触发对话	(=pn)	办公室		"我加入。|我再考虑考虑。|
我知道这么多，不加入会怎么样？"	0	PC5	后接23_1|23_2|23_3		
23_1	1	交互触发对话	宁芷	办公室	比我想象的要快呢，看来你已经做好准备了。		20				
	2	自动触发对话	宁芷	办公室	欢迎加入我们来一同探寻，世界的真相。		18				
23_2	1	交互触发对话	宁芷	办公室	可以随时发消息回复我哦~		12		后接24		
23_3	1	交互触发对话	宁芷	办公室	并不会怎么样，这些信息本就不算什么机密。		20				
	2	自动触发对话	宁芷	办公室	指令协会的存在是为了让那些选择了平静的普通人不会直面失序。		29				
	3	自动触发对话	宁芷	办公室	也总有一些敢于涉足未知肩负责任的人们愿意去守护这份平静。		28		回到22		
							0				
24	1	"自动触发对话
（23号后强行选择2）"	手机屏幕(NQChat)			我加入。|还是算了。			后接25|后接26		
											
25	1	交互触发对话	手机屏幕(NQChat)宁芷		欢迎加入指令协会。				任务完成，后续27		
											
26	1	交互触发对话	手机屏幕(NQChat)宁芷		好吧，不过我还是希望你能再考虑考虑。				之后可以继续回到操场进行百团大战		
											
