物品编码,物品名称,分类,拾取,丢弃,赠送,内存,价格,作用,描述,获取,路径
F001,小面包,食物,TRUE,TRUE,TRUE,160,2,食用后体力值+10。,NQU食堂出品小面包，味道一般，但起码不难吃。,食堂,Items/Icons/F001
F002,矿泉水,食物,TRUE,TRUE,TRUE,160,1,食用后体力值+5。,超市里的矿泉水，能止渴并且……能止渴。,超市,Items/Icons/F002
F003,薯条,食物,TRUE,TRUE,TRUE,320,7,食用后体力值+5，心情值+10。,香喷喷，热乎乎的薯条……,食堂,Items/Icons/F003
F004,汉堡,食物,TRUE,TRUE,TRUE,320,8,食用后体力值+10，心情值+5。,香喷喷，热乎乎的汉堡……,食堂,Items/Icons/F004
F005,鸡腿,食物,TRUE,TRUE,TRUE,320,5,食用后体力值+5，心情值+5。,香喷喷，热乎乎的鸡腿……,食堂,Items/Icons/F005
F006,雪糕,食物,TRUE,TRUE,TRUE,160,3,食用后体力值+5，心情值+5。,普通的雪糕，哪里都有卖。,食堂/超市,Items/Icons/F006
F007,三明治,食物,TRUE,TRUE,TRUE,160,4,食用后体力值+15。,超市里的三明治，能止饿并且……能止饿。,超市,Items/Icons/F007
F008,咖啡,食物,TRUE,TRUE,TRUE,160,10,食用后体力值+20。,来一杯吧，提提神。,超市,Items/Icons/F008
F009,苹果,食物,TRUE,TRUE,TRUE,160,4,食用后体力值+5，心情值+5。,一个苹果，多吃水果总归没有坏处。,超市,Items/Icons/F009
F010,草莓,食物,TRUE,TRUE,TRUE,160,10,食用后体力值+5，心情值+5。,一盒草莓，多吃水果总归没有坏处。,超市,Items/Icons/F010
F011,葡萄,食物,TRUE,TRUE,TRUE,160,10,食用后体力值+5，心情值+5。,一盒葡萄，多吃水果总归没有坏处。,超市,Items/Icons/F011
F012,西瓜,食物,TRUE,TRUE,TRUE,160,8,食用后体力值+5，心情值+5。,一盒西瓜，多吃水果总归没有坏处。,超市,Items/Icons/F012
F013,水果罐头,食物,TRUE,TRUE,TRUE,160,10,食用后体力值+10。,水果罐头也是水果，也能摄入维生素。,超市,Items/Icons/F013
F014,糖,食物,TRUE,TRUE,TRUE,20,1,食用后心情值+5。,甜滋滋。,超市,Items/Icons/F014
F015,薯片,食物,TRUE,TRUE,TRUE,160,5,食用后心情值+10。,真的有人会不喜欢吃薯片吗？,超市,Items/Icons/F015
F016,牛奶,食物,TRUE,TRUE,TRUE,160,4,食用后体力值+15。,多喝牛奶长身体。,食堂/超市,Items/Icons/F016
F017,雪碧,食物,TRUE,TRUE,TRUE,160,3,食用后体力值+5，心情值+5。,碳酸饮料总是让人感到快乐。,食堂/超市,Items/Icons/F017
F018,可乐,食物,TRUE,TRUE,TRUE,160,3,食用后体力值+5，心情值+5。,碳酸饮料总是让人感到快乐。,食堂/超市,Items/Icons/F018
D001,笔,生活用品,TRUE,TRUE,TRUE,160,3,学习时可使学习效率+5%。每支可用十次。,学习必备。,超市,Items/Icons/D001
D002,橡皮,生活用品,TRUE,TRUE,TRUE,160,2,学习时可使学习效率+5%。每个可用十次。,学习必备。,超市,Items/Icons/D002
D003,卷纸,生活用品,TRUE,TRUE,TRUE,320,12,肮脏速率-10%。每卷可用14天。,想象不到没有纸一个大学生该怎么活。,超市,Items/Icons/D003
D004,电池,生活用品,TRUE,TRUE,TRUE,160,5,该用之时你就知道。,不仅有用，而且在很多地方有用。,超市,Items/Icons/D004
D005,洗衣液,生活用品,TRUE,TRUE,TRUE,320,22,洗衣的必需物。每桶可用五次。,洗衣服总得要洗衣液吧？,超市,Items/Icons/D005
D006,刷子,生活用品,TRUE,TRUE,TRUE,160,8,洗衣时间-50%。,刷一刷，把脏污全刷走~,超市,Items/Icons/D006
D007,防晒霜,生活用品,TRUE,TRUE,TRUE,160,24,晴天时使用可使体力消耗-10%。每管可用十次。,小心晒伤，对自己的皮肤好一点。,超市,Items/Icons/D007
D008,橡胶鸭,生活用品,TRUE,TRUE,TRUE,160,8,每次洗澡时，心情额外+10。,对于小学生来说太幼稚了，但对于大学生来说刚刚好。,超市,Items/Icons/D008
C001,学生证,凭证,TRUE,TRUE,FALSE,160,0,该用之时你就知道。,作为南桥学生的证明，别弄丢它。,新生开学,Items/Icons/C001
C002,教师证,凭证,TRUE,TRUE,FALSE,160,0,该用之时你就知道。,作为南桥教师的证明，你怎么搞来的？,,Items/Icons/C002
C003,门禁卡,凭证,TRUE,TRUE,FALSE,160,0,持有时可进入寝室。,进入寝室的凭证，别弄丢它。,新生开学,Items/Icons/C003
C004,捡拾的门禁卡,凭证,TRUE,TRUE,TRUE,160,0,捡拾时随机获得Cache_A、B、C、D属性，玩家可持有具备Cache_A属性的门禁卡进入Cache_A。,门禁卡，别人的。,,Items/Icons/C003
P001,溢出错误报告,校务文件,TRUE,TRUE,TRUE,1200,0,触发随机战斗的概率-10%。送给正确的人会有所收获。,“又失败了……下次循环必须解决堆栈对齐问题。”,打败StackOverflow,Items/Icons/P001
O001,异常处理手套,指令物,TRUE,TRUE,TRUE,1200,800,将受到的30%伤害转化为等比例失序值；当队友战斗中失序时，可强制终止其技能并恢复10%生命值（冷却3回合）。,To handle all your exceptions. ,,Items/Icons/O001
O002,幸运羽毛,指令物,TRUE,TRUE,TRUE,720,200,进入战斗时，+10%暴击率，整场战斗有效。每片可用一次。,哇！金色传说！你是怎么说服那群鸽子的？,完成支线“咕咕！打架了！咕咕！打架了！”,Items/Icons/O002
