PID,parent PId,地点,任务,奖励,描述,时间,
0000001,00000,寝室,开学日,,今天是开学第一天。,9月3日,
0000002,00000,寝室,开学日,林风.好感度+5。,林风的课本不见了，帮她找找吧。,9月3日,
0000003,00000,寝室,开学日,,今天是开学第一天。,9月3日,
00000,,寝室,开学日,林风.好感度+10。弗洛.好感度+10。纪远行.好感度+10。,,9月3日,
0000101,00001,操场,开学典礼,,参加开学典礼。,9月4日9：00。,
0000102,00001,食堂,开学典礼,林风.好感度+5。弗洛.好感度+5。纪远行.好感度+5。,前往食堂买饭，并带回寝室。,9月4日12;30,
0000103,00001,寝室楼下,,,前往寝室楼下领取军训服。,9月4日13：00,
00001,,操场,开学典礼,林风.好感度+5。弗洛.好感度+5。纪远行.好感度+5。,,
0000202,00002,操场,军训,,完成军训汇演。,9月16日,
00002,,,,,,,,,,,,,,,军训成绩.优秀。|获得军训成绩：良好。|获得军训成绩：合格。
0000301,00003,,百团大战,,参与百团大战。,9月17日,
0000401,00004,,我打失序？真的假的？,,宁芷邀请你加入指令协会，给予她答复。,9月23日,
00004,,,我打失序？真的假的？,,,
0000501,,北桥楼,,获得￥100。声望+10。,加入指令协会后的第一个委托，调查北桥楼。,9月24日，9月25日,
0000502,,北桥楼外部,,安澜好感度+10。,完成委托时出了点意外，不过没关系，把安澜送回寝室吧。,9月24日/9月25日,
0000601,00006,北桥楼一、二层,深入北桥楼,,深入北桥楼，清理失序溢出。,10月1日-10月2日,
00006,,,,金钱100。声望+10。安澜.好感度+10。,,,
0100101,,图书馆,计算机导论小组作业,计算机导论平时分+10。智力+2。声望+2。,令人深恶痛绝的小组作业，好在你的组员还不错。,10月15日,
0000701,,北桥楼,深入北桥楼，再放送,金钱100。声望+10。安澜好感度+10。弗洛好感度+5.,深入北桥楼，清理失序溢出。,10月23日,
0000801,00008,校医院病房102,探望,弗洛.好感度+5。信念+10。,弗洛醒了，去看看她吧。,11月2日,
0000802,00008,校医院病房103,,,安澜还在昏迷，去看看她吧。,11月2日,
00008,,,探望,,,,
0000901,00009,,训练……然后打败它,,接收宁芷的训练。,12月18日24：00,
0000902,00009,南桥楼613、615。,训练……然后打败它,获得库技能“cmd”。力量+5。体力+10。生命+20。,接收宁芷和学业导师的训练（0/5）。,12月18日24：00,,,,,,,,"在任务完成前，去613、615找学业导师和宁芷时会多出一个选项“训练”。
0000903,00009,南桥楼613、615。,训练……然后打败它,获得库技能“registry”。力量+5。体力+10。生命+20。,接收宁芷和学业导师的训练（0/5）。,12月18日24：00,,,,,,,"完成之后找宁芷或学业导师时“训练”会替换为“挑战”
0000904,00009,南桥楼613,训练……然后打败它,,战胜宁芷，展示你最近的训练成果。,12月18日24：00,
00009,,,训练……然后打败它,获得“异常处理手套”（O001）*1。,,,
0001001,,北桥楼五层,打败它。,"获得￥200。声望+20。弗洛.好感度+5。林风.好感度+5。纪远行.好感度+5。宁芷.好感度+5。学业导师.好感度+5。获得“溢出错误报告”（P001）*1。",打败StackOverflow,12月24日,
